Symbol,Name
communication_services,Communication Services
consumer_discretionary,Cons Disc
consumer_staples,Cons Staples
energy,Energy
financials,Financials
health_care,Health Care
industrials,Industrials
information_technology,Info Tech
materials,Materials
real_estate,Real Estate
utilities,Utilities
